date,net_pnl,equity,peak,drawdown,drawdown_pct
2025-12-02,23613.75,6225757.01,6225757.01,0.00,0.00
2026-01-27,-21736.42,6204020.59,6225757.01,21736.42,0.35
2026-02-03,22778.44,6226799.03,6226799.03,0.00,0.00
2026-02-10,48952.02,6275751.04,6275751.04,0.00,0.00
2026-02-24,4371.59,6280122.63,6280122.63,0.00,0.00
2026-03-02,-9077.24,6271045.39,6280122.63,9077.24,0.14
2026-03-10,4412.64,6275458.03,6280122.63,4664.60,0.07
2026-03-17,37798.20,6313256.23,6313256.23,0.00,0.00
2026-04-28,35942.47,6349198.70,6349198.70,0.00,0.00
2026-05-05,-15594.43,6333604.27,6349198.70,15594.43,0.25
2026-05-19,12481.82,6346086.08,6349198.70,3112.61,0.05
2026-05-26,58465.29,6404551.37,6404551.37,0.00,0.00
2026-06-02,70072.98,6474624.35,6474624.35,0.00,0.00
2026-06-09,2957.41,6477581.77,6477581.77,0.00,0.00
2026-06-16,-31396.87,6446184.89,6477581.77,31396.87,0.48
